match id,team1,team2,winner,by,win amount,toss winner,toss decision,match_dt,series_name,season,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,team1_id,team2_id,winner_id,player_of_the_match_id,bat_first,team1_run_rate_overall,team2_run_rate_overall,team1_nrr_overall,team2_nrr_overall,team1_run_rate,team2_run_rate,team1_run_rate_season,team2_run_rate_season,team1_nrr_season,team2_nrr_season,team1_run_rate_series,team2_run_rate_series,team1_nrr_series,team2_nrr_series,team1_run_rate_last10,team2_run_rate_last10,team1_nrr_last10,team2_nrr_last10,team1_avgruns_overall,team1_avgruns_season,team1_avgruns_series,team1_avgruns_rolling,team2_avgruns_overall,team2_avgruns_season,team2_avgruns_series,team2_avgruns_rolling,team1_avgwks_overall,team1_avgwks_season,team1_avgwks_series,team1_avgwks_rolling,team2_avgwks_overall,team2_avgwks_season,team2_avgwks_series,team2_avgwks_rolling,team1_rwratio_overall,team1_rwratio_season,team1_rwratio_series,team1_rwratio_rolling,team2_rwratio_overall,team2_rwratio_season,team2_rwratio_series,team2_rwratio_rolling,team1_win_percent_overall,team1_win_percent_season,team1_win_percent_series,team1_win_percent_rolling,team1_victory_by_runs_overall,team1_victory_by_wks_overall,team1_victory_by_runs_season,team1_victory_by_wks_season,team1_victory_by_runs_series,team1_victory_by_wks_series,team1_victory_by_runs_rolling,team1_victory_by_wks_rolling,team2_win_percent_overall,team2_win_percent_season,team2_win_percent_series,team2_win_percent_rolling,team2_victory_by_runs_overall,team2_victory_by_wks_overall,team2_victory_by_runs_season,team2_victory_by_wks_season,team2_victory_by_runs_series,team2_victory_by_wks_series,team2_victory_by_runs_rolling,team2_victory_by_wks_rolling
8638034,Nn Ds,Wn,Wn,wickets,9.0,Wn,field,2021-01-01,Sr Sh,2020/21,148,6,130,152.0,1.0,97.0,17982,18570,18570,,Nn Ds,0.0,0.0,0.0,0.0,6.8307692307692305,9.402061855670103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8588005,Me Rs,Sy Tr,Sy Tr,runs,7.0,Sy Tr,field,2021-01-01,Bg Bh Le,2020/21,166,6,106,117.0,2.0,74.0,33942,33963,33963,1749075.0,Me Rs,0.0,0.0,0.0,0.0,9.39622641509434,9.486486486486486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8587837,Sy Ss,Be Ht,Be Ht,wickets,4.0,Sy Ss,bat,2021-01-02,Bg Bh Le,2020/21,165,8,126,171.0,6.0,119.0,33956,33921,33921,3890984.0,Sy Ss,0.0,0.0,0.0,0.0,7.857142857142857,8.621848739495798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8638041,Nn Ds,Oo,Oo,wickets,2.0,Oo,field,2021-01-02,Sr Sh,2020/21,153,7,128,156.0,8.0,126.0,17982,18360,18360,,Nn Ds,9.402061855670103,0.0,2.571292624900873,0.0,7.171875,7.428571428571429,9.402061855670103,0.0,2.571292624900873,0.0,9.402061855670103,0.0,2.571292624900873,0.0,9.402061855670103,0.0,2.571292624900873,0.0,148.0,148.0,148.0,148.0,,,,,1.0,1.0,1.0,1.0,,,,,24.666666666666668,24.666666666666668,24.666666666666668,24.666666666666668,,,,,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,0.0,-9.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8587921,Ht Hs,Me Ss,Ht Hs,runs,21.0,Me Ss,field,2021-01-02,Bg Bh Le,2020/21,164,5,126,143.0,9.0,123.0,33928,33949,33928,3125849.0,Ht Hs,0.0,0.0,0.0,0.0,7.809523809523809,6.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8638048,Ad,Cy,Cy,wickets,10.0,Cy,field,2021-01-03,Sr Sh,2020/21,52,4,33,55.0,0.0,28.0,17583,17653,17653,,Ad,0.0,0.0,0.0,0.0,9.454545454545455,11.785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8587907,Ae Ss,Sy Ss,Sy Ss,wickets,7.0,Sy Ss,field,2021-01-03,Bg Bh Le,2020/21,150,4,125,151.0,3.0,108.0,33914,33956,33956,7869987.0,Ae Ss,0.0,7.857142857142857,0.0,-0.7647058823529411,7.2,8.38888888888889,0.0,7.857142857142857,0.0,-0.7647058823529411,0.0,7.857142857142857,0.0,-0.7647058823529411,0.0,7.857142857142857,0.0,-0.7647058823529411,,,,,165.0,165.0,165.0,165.0,,,,,6.0,6.0,6.0,6.0,,,,,20.625,20.625,20.625,20.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-4.0,0.0,-4.0,0.0,-4.0
8587984,Ph Ss,Me Rs,Ph Ss,runs,96.0,Me Rs,field,2021-01-03,Bg Bh Le,2020/21,185,3,124,89.0,10.0,80.0,33935,33942,33935,4635658.0,Ph Ss,0.0,9.486486486486486,0.0,0.0902600713921462,8.951612903225806,6.675,0.0,9.486486486486486,0.0,0.0902600713921462,0.0,9.486486486486486,0.0,0.0902600713921462,0.0,9.486486486486486,0.0,0.0902600713921462,,,,,166.0,166.0,166.0,166.0,,,,,2.0,2.0,2.0,2.0,,,,,27.666666666666668,27.666666666666668,27.666666666666668,27.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,0.0,-7.0,0.0,-7.0,0.0
8638055,Cl Ds,Nn Ds,Nn Ds,wickets,6.0,Nn Ds,field,2021-01-04,Sr Sh,2020/21,117,9,124,122.0,4.0,107.0,17744,17982,17982,,Cl Ds,0.0,8.286995515695068,0.0,1.286995515695068,5.661290322580645,6.841121495327103,0.0,8.286995515695068,0.0,1.286995515695068,0.0,8.286995515695068,0.0,1.286995515695068,0.0,8.286995515695068,0.0,1.286995515695068,,,,,150.5,150.5,150.5,150.5,,,,,4.5,4.5,4.5,4.5,,,,,23.153846153846153,23.153846153846153,23.153846153846153,23.153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,0.0,-5.5,0.0,-5.5,0.0,-5.5
8588166,Me Ss,Ht Hs,Me Ss,runs,10.0,Ht Hs,field,2021-01-04,Bg Bh Le,2020/21,183,6,122,173.0,6.0,124.0,33949,33928,33949,2275097.0,Me Ss,6.975609756097561,6.975609756097561,-0.8339140534262484,-0.8339140534262484,9.0,8.370967741935484,6.975609756097561,6.975609756097561,-0.8339140534262484,-0.8339140534262484,6.975609756097561,6.975609756097561,-0.8339140534262484,-0.8339140534262484,6.975609756097561,6.975609756097561,-0.8339140534262484,-0.8339140534262484,143.0,143.0,143.0,143.0,164.0,164.0,164.0,164.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,15.88888888888889,15.88888888888889,15.88888888888889,15.88888888888889,32.8,32.8,32.8,32.8,0.0,0.0,0.0,0.0,-21.0,0.0,-21.0,0.0,-21.0,0.0,-21.0,0.0,100.0,100.0,100.0,100.0,21.0,0.0,21.0,0.0,21.0,0.0,21.0,0.0
